"id"	"language"	"center"	"call_status"	"job_status"	"customer_status"	"comment"	"score"	"created_at"	"updated_at"	"agent_id"	"phone_no"
"2"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"5"	"20/5/2024 17:30:06"	"20/5/2024 17:30:06"	"27"	"119"
"10"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"23/5/2024 18:52:21"	"23/5/2024 18:52:21"	"27"	"077261590"
"12"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"23/5/2024 18:52:36"	"23/5/2024 18:52:36"	"27"	"070451590"
"13"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"23/5/2024 18:52:47"	"23/5/2024 18:52:47"	"27"	"077261590"
"15"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"23/5/2024 18:53:10"	"23/5/2024 18:53:10"	"27"	"070451590"
"16"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"23/5/2024 18:53:22"	"23/5/2024 18:53:22"	"27"	"077261590"
"18"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"23/5/2024 18:53:44"	"23/5/2024 18:53:44"	"27"	"070451590"
"19"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"23/5/2024 18:53:55"	"23/5/2024 18:53:55"	"27"	"077261590"
"20"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"24/5/2024 07:22:32"	"24/5/2024 07:22:32"	"27"	"077261590"
"21"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"24/5/2024 07:25:23"	"24/5/2024 07:25:23"	"27"	"077261590"
"23"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"24/5/2024 07:25:48"	"24/5/2024 07:25:48"	"27"	"070451590"
"24"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"24/5/2024 07:26:01"	"24/5/2024 07:26:01"	"27"	"077261590"
"26"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"24/5/2024 07:26:28"	"24/5/2024 07:26:28"	"27"	"070451590"
"27"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"24/5/2024 07:26:41"	"24/5/2024 07:26:41"	"27"	"077261590"
"29"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"24/5/2024 07:27:06"	"24/5/2024 07:27:06"	"27"	"070451590"
"30"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"24/5/2024 07:27:18"	"24/5/2024 07:27:18"	"27"	"077261590"
"32"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"24/5/2024 07:27:46"	"24/5/2024 07:27:46"	"27"	"070451590"
"33"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"24/5/2024 12:15:18"	"24/5/2024 12:15:18"	"27"	"077261590"
"35"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"24/5/2024 12:15:55"	"24/5/2024 12:15:55"	"27"	"070451590"
"37"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"25/5/2024 14:49:48"	"25/5/2024 14:49:48"	"27"	"070451590"
"38"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"25/5/2024 14:50:13"	"25/5/2024 14:50:13"	"27"	"077261590"
"40"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"25/5/2024 14:50:55"	"25/5/2024 14:50:55"	"27"	"070451590"
"41"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"25/5/2024 14:51:15"	"25/5/2024 14:51:15"	"27"	"077261590"
"43"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"25/5/2024 14:52:15"	"25/5/2024 14:52:15"	"27"	"070451590"
"44"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"25/5/2024 14:52:34"	"25/5/2024 14:52:34"	"27"	"077261590"
"46"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"25/5/2024 14:53:16"	"25/5/2024 14:53:16"	"27"	"070451590"
"47"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"25/5/2024 17:46:11"	"25/5/2024 17:46:11"	"27"	"077261590"
"49"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"25/5/2024 17:46:33"	"25/5/2024 17:46:33"	"28"	"070451590"
"50"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"25/5/2024 17:46:43"	"25/5/2024 17:46:43"	"27"	"077261590"
"52"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"25/5/2024 17:47:04"	"25/5/2024 17:47:04"	"28"	"070451590"
"53"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"25/5/2024 17:47:14"	"25/5/2024 17:47:14"	"27"	"077261590"
"54"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"26/5/2024 09:22:31"	"26/5/2024 09:22:31"	"27"	"077261590"
"56"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"26/5/2024 09:22:55"	"26/5/2024 09:22:55"	"28"	"070451590"
"57"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"26/5/2024 09:23:08"	"26/5/2024 09:23:08"	"27"	"077261590"
"59"	"english"	"colombo"	"answered"	"approved"	"happy"	"AAA"	"4"	"26/5/2024 09:23:33"	"26/5/2024 09:23:33"	"28"	"070451590"
"60"	"sinhala"	"kurunegala"	"answered"	"approved"	"happy"	"AAA"	"5"	"26/5/2024 09:23:45"	"26/5/2024 09:23:45"	"27"	"077261590"
